code,type
7856,icd9
7866,icd9
7931,icd9
79319,icd9
7823,icd9
79431,icd9
2893,icd9
79902,icd9
7821,icd9
5119,icd9
72981,icd9
5183,icd9
79311,icd9
7842,icd9
7906,icd9
5180,icd9
4293,icd9
7850,icd9
7948,icd9
V741,icd9
7822,icd9
7932,icd9
7892,icd9
7904,icd9
7942,icd9
28860,icd9
2875,icd9
42769,icd9
78930,icd9
4589,icd9
5128,icd9
28850,icd9
78650,icd9
78605,icd9
7862,icd9
78079,icd9
7291,icd9
78659,icd9
78060,icd9
7851,icd9
71947,icd9
71949,icd9
7802,icd9
71940,icd9
78321,icd9
78651,icd9
78652,icd9
7806,icd9
78607,icd9
7869,icd9
78630,icd9
7863,icd9
7808,icd9
78902,icd9
51889,icd9
78609,icd9
496,icd9
49390,icd9
515,icd9
1629,icd9
51881,icd9
49121,icd9
49392,icd9
78600,icd9
2357,icd9
2123,icd9
4928,icd9
514,icd9
5110,icd9
2391,icd9
49120,icd9
49320,icd9
4239,icd9
49310,icd9
486,icd9
4660,icd9
4659,icd9
490,icd9
6826,icd9
4610,icd9
4730,icd9
07999,icd9
4829,icd9
6869,icd9
4919,icd9
V7283,icd9
V7284,icd9
V7281,icd9
6929,icd9
3643,icd9
3051,icd9
2382,icd9
27542,icd9
V726,icd9
36400,icd9
9999,icd9
20280,icd9
6952,icd9
7149,icd9
36401,icd9
7999,icd9
V7260,icd9
37730,icd9
7109,icd9
36410,icd9
3510,icd9
2410,icd9
V7282,icd9
79399,icd9
7964,icd9
6861,icd9
36320,icd9
36402,icd9
37991,icd9
7099,icd9
3688,icd9
3682,icd9
7813,icd9
79579,icd9
V1582,icd9
2392,icd9
V7263,icd9
V7189,icd9
4476,icd9
36012,icd9
7910,icd9
5272,icd9
37700,icd9
71659,icd9
36283,icd9
9953,icd9
37900,icd9
V725,icd9
36218,icd9
2290,icd9
08881,icd9
5733,icd9
37924,icd9
3689,icd9
3419,icd9
042,icd9
2388,icd9
V6709,icd9
37739,icd9
2358,icd9
7969,icd9
4242,icd9
34889,icd9
79099,icd9
1991,icd9
V6759,icd9
7930,icd9
3699,icd9
5121,icd9
3698,icd9
37992,icd9
71699,icd9
71907,icd9
5920,icd9
5921,icd9
5932,icd9
5849,icd9
42789,icd9
4279,icd9
4139,icd9
7852,icd9
42781,icd9
4270,icd9
4264,icd9
5178,icd9
2891,icd9
4168,icd9
5193,icd9
4940,icd9
5163,icd9
1970,icd9
71690,icd9
57420,icd9
5718,icd9
5738,icd9
5739,icd9
47819,icd9
3559,icd9
3369,icd9
34830,icd9
R590,icd10
R918,icd10
R591,icd10
R911,icd10
R599,icd10
R9431,icd10
R938,icd10
R000,icd10
J90,icd10
R0902,icd10
J9811,icd10
I517,icd10
R7989,icd10
D72829,icd10
R748,icd10
R001,icd10
R161,icd10
E871,icd10
D696,icd10
R222,icd10
R221,icd10
J939,icd10
R0602,icd10
R05,icd10
R079,icd10
R0789,icd10
R0600,icd10
R51,icd10
R109,icd10
R5383,icd10
R509,icd10
M6281,icd10
R531,icd10
M2550,icd10
R55,icd10
R002,icd10
R202,icd10
R21,icd10
R0609,icd10
R634,icd10
R4182,icd10
R200,icd10
R110,icd10
R1084,icd10
M549,icd10
M791,icd10
R1011,icd10
R5381,icd10
R062,icd10
R042,icd10
R0989,icd10
M79605,icd10
R0781,icd10
R0689,icd10
R072,icd10
J449,icd10
J984,icd10
J45909,icd10
J8410,icd10
J849,icd10
J9601,icd10
J441,icd10
J811,icd10
J45901,icd10
J189,icd10
J209,icd10
J069,icd10
J40,icd10
J329,icd10
B349,icd10
G039,icd10
Z01818,icd10
E8352,icd10
F17210,icd10
I888,icd10
M064,icd10
Z01810,icd10
H209,icd10
Z20828,icd10
Z01812,icd10
F17200,icd10
I429,icd10
Z87891,icd10
L929,icd10
L52,icd10
M797,icd10
I898,icd10
D485,icd10
H469,icd10
Z48813,icd10
L309,icd10
D8989,icd10
H44112,icd10
H4710,icd10
H538,icd10
H04123,icd10
H20042,icd10
M25572,icd10
G510,icd10
H532,icd10
Z1159,icd10
M25571,icd10
H21513,icd10
H542,icd10
H2000,icd10
H468,icd10
C411,icd10
H7090,icd10
M359,icd10
D360,icd10
H20012,icd10
H53133,icd10
H20011,icd10
H44111,icd10
I313,icd10
H4922,icd10
L928,icd10
I428,icd10
M130,icd10
C7951,icd10
L308,icd10
D71,icd10
H5711,icd10
H539,icd10
H20013,icd10
H20029,icd10
C8590,icd10
I469,icd10
R29810,icd10
H44113,icd10
Z0001,icd10
R930,icd10
R846,icd10
N12,icd10
Z862,icd10
D1431,icd10
R768,icd10
Z0189,icd10
H3091,icd10
N200,icd10
N201,icd10
N179,icd10
I472,icd10
I499,icd10
I493,icd10
I471,icd10
I442,icd10
J479,icd10
M7989,icd10
E860,icd10
K8020,icd10
J4520,icd10
G629,icd10
G9340,icd10
I889,icd10
I2699,icd10
