code,type
,icd9
R0602,icd10
R05,icd10
R918,icd10
R079,icd10
R109,icd10
J441,icd10
R509,icd10
J9601,icd10
R531,icd10
E860,icd10
E876,icd10
E871,icd10
R0902,icd10
R4182,icd10
R0600,icd10
R112,icd10
D72829,icd10
J45909,icd10
I480,icd10
R000,icd10
E872,icd10
U071,icd10
J9811,icd10
R0789,icd10
J9600,icd10
R197,icd10
R9431,icd10
D696,icd10
R5381,icd10
R55,icd10
I959,icd10
R51,icd10
N200,icd10
L03115,icd10
L03116,icd10
G9340,icd10
R5383,icd10
R42,icd10
R1084,icd10
J209,icd10
M7989,icd10
J984,icd10
R110,icd10
M549,icd10
J181,icd10
J9690,icd10
J9621,icd10
K529,icd10
R7989,icd10
R1013,icd10
R52,icd10
Z743,icd10
R1110,icd10
M25552,icd10
J159,icd10
R0989,icd10
L0390,icd10
K8020,icd10
R410,icd10
T814XXA,icd10
N1330,icd10
J45901,icd10
K5730,icd10
J029,icd10
J40,icd10
N201,icd10
R1011,icd10
M79604,icd10
B9689,icd10
R0689,icd10
R062,icd10
N10,icd10
R319,icd10
N3000,icd10
N289,icd10
I499,icd10
R739,icd10
R300,icd10
M79605,icd10
R1031,icd10
R0609,icd10
L089,icd10
R1032,icd10
G43909,icd10
J9602,icd10
M791,icd10
J80,icd10
G459,icd10
R030,icd10
J1289,icd10
R102,icd10
K5732,icd10
R404,icd10
J0190,icd10
B370,icd10
J1282,icd10
R1030,icd10
W19XXXA,icd10
L03119,icd10
E8339,icd10
M2550,icd10
I469,icd10
K5792,icd10
B349,icd10
K625,icd10
I330,icd10
R350,icd10
N132,icd10
K5720,icd10
A4902,icd10
R945,icd10
R310,icd10
J329,icd10
I951,icd10
R6510,icd10
F05,icd10
K567,icd10
K5660,icd10
A4901,icd10
J188,icd10
M009,icd10
K6389,icd10
R072,icd10
R042,icd10
L02211,icd10
J9691,icd10
I498,icd10
B9729,icd10
M6282,icd10
R5081,icd10
R0781,icd10
L0231,icd10
R338,icd10
J111,icd10
K810,icd10
L0291,icd10
J101,icd10
Z1159,icd10
R740,icd10
R740,icd10
D72819,icd10
N3001,icd10
E869,icd10
M25559,icd10
L03113,icd10
L03114,icd10
K838,icd10
R200,icd10
K828,icd10
B999,icd10
A09,icd10
L03311,icd10
E861,icd10
L02415,icd10
Z03818,icd10
R1012,icd10
G061,icd10
B9789,icd10
L02416,icd10
K5790,icd10
M79661,icd10
R0603,icd10
J0100,icd10
R1010,icd10
M79662,icd10
J020,icd10
K659,icd10
J168,icd10
A499,icd10
N136,icd10
N3289,icd10
K819,icd10
K611,icd10
R069,icd10
I248,icd10
J988,icd10
K8050,icd10
J9801,icd10
L02611,icd10
J180,icd10
J4541,icd10
R400,icd10
N202,icd10
J129,icd10
K3580,icd10
J13,icd10
L03211,icd10
L02214,icd10
R0682,icd10
