code,type
1369,icd9
2749,icd9
2893,icd9
4572,icd9
6806,icd9
68100,icd9
68101,icd9
68102,icd9
68110,icd9
6819,icd9
6820,icd9
6823,icd9
6824,icd9
6826,icd9
6827,icd9
6828,icd9
6829,icd9
68600,icd9
68601,icd9
6861,icd9
6868,icd9
6869,icd9
6918,icd9
6926,icd9
69289,icd9
6929,icd9
69589,icd9
6959,icd9
7094,icd9
7099,icd9
71944,icd9
71958,icd9
72671,icd9
72700,icd9
72704,icd9
72705,icd9
7295,icd9
7296,icd9
72981,icd9
78060,icd9
78079,icd9
7821,icd9
7822,icd9
7856,icd9
881,icd9
8810,icd9
88100,icd9
88101,icd9
88102,icd9
8811,icd9
88110,icd9
88111,icd9
88112,icd9
8812,icd9
88120,icd9
88121,icd9
88122,icd9
882,icd9
8820,icd9
8821,icd9
8822,icd9
883,icd9
8830,icd9
8831,icd9
8832,icd9
891,icd9
8910,icd9
8911,icd9
8912,icd9
892,icd9
8920,icd9
8921,icd9
8922,icd9
893,icd9
8930,icd9
8931,icd9
8932,icd9
9146,icd9
9895,icd9
L03115,icd10
L0889,icd10
L03116,icd10
L237,icd10
L02512,icd10
R21,icd10
M79641,icd10
R2231,icd10
L03211,icd10
L03113,icd10
L03119,icd10
L03011,icd10
I891,icd10
L03012,icd10
L089,icd10
L03019,icd10
L02415,icd10
L0291,icd10
L03032,icd10
R2232,icd10
L989,icd10
M7989,icd10
R509,icd10
M2550,icd10
L0390,icd10
M79644,icd10
M795,icd10
R229,icd10
I889,icd10
M79645,icd10
L03114,icd10
L239,icd10
M79642,icd10
R5383,icd10
L259,icd10
L309,icd10
L02414,icd10
M65842,icd10
L308,icd10
M79662,icd10
L02511,icd10
M65841,icd10
M79604,icd10
M659,icd10
M79605,icd10
M109,icd10
L02413,icd10
R5381,icd10
L03031,icd10
L538,icd10
S61,icd10
S610,icd10
S6100,icd10
S61001,icd10
S61001A,icd10
S61001D,icd10
S61001S,icd10
S61002,icd10
S61002A,icd10
S61002D,icd10
S61002S,icd10
S61009,icd10
S61009A,icd10
S61009D,icd10
S61009S,icd10
S6101,icd10
S61011,icd10
S61011A,icd10
S61011D,icd10
S61011S,icd10
S61012,icd10
S61012A,icd10
S61012D,icd10
S61012S,icd10
S61019,icd10
S61019A,icd10
S61019D,icd10
S61019S,icd10
S6102,icd10
S61021,icd10
S61021A,icd10
S61021D,icd10
S61021S,icd10
S61022,icd10
S61022A,icd10
S61022D,icd10
S61022S,icd10
S61029,icd10
S61029A,icd10
S61029D,icd10
S61029S,icd10
S6103,icd10
S61031,icd10
S61031A,icd10
S61031D,icd10
S61031S,icd10
S61032,icd10
S61032A,icd10
S61032D,icd10
S61032S,icd10
S61039,icd10
S61039A,icd10
S61039D,icd10
S61039S,icd10
S6104,icd10
S61041,icd10
S61041A,icd10
S61041D,icd10
S61041S,icd10
S61042,icd10
S61042A,icd10
S61042D,icd10
S61042S,icd10
S61049,icd10
S61049A,icd10
S61049D,icd10
S61049S,icd10
S6105,icd10
S61051,icd10
S61051A,icd10
S61051D,icd10
S61051S,icd10
S61052,icd10
S61052A,icd10
S61052D,icd10
S61052S,icd10
S61059,icd10
S61059A,icd10
S61059D,icd10
S61059S,icd10
S611,icd10
S6110,icd10
S61101,icd10
S61101A,icd10
S61101D,icd10
S61101S,icd10
S61102,icd10
S61102A,icd10
S61102D,icd10
S61102S,icd10
S61109,icd10
S61109A,icd10
S61109D,icd10
S61109S,icd10
S6111,icd10
S61111,icd10
S61111A,icd10
S61111D,icd10
S61111S,icd10
S61112,icd10
S61112A,icd10
S61112D,icd10
S61112S,icd10
S61119,icd10
S61119A,icd10
S61119D,icd10
S61119S,icd10
S6112,icd10
S61121,icd10
S61121A,icd10
S61121D,icd10
S61121S,icd10
S61122,icd10
S61122A,icd10
S61122D,icd10
S61122S,icd10
S61129,icd10
S61129A,icd10
S61129D,icd10
S61129S,icd10
S6113,icd10
S61131,icd10
S61131A,icd10
S61131D,icd10
S61131S,icd10
S61132,icd10
S61132A,icd10
S61132D,icd10
S61132S,icd10
S61139,icd10
S61139A,icd10
S61139D,icd10
S61139S,icd10
S6114,icd10
S61141,icd10
S61141A,icd10
S61141D,icd10
S61141S,icd10
S61142,icd10
S61142A,icd10
S61142D,icd10
S61142S,icd10
S61149,icd10
S61149A,icd10
S61149D,icd10
S61149S,icd10
S6115,icd10
S61151,icd10
S61151A,icd10
S61151D,icd10
S61151S,icd10
S61152,icd10
S61152A,icd10
S61152D,icd10
S61152S,icd10
S61159,icd10
S61159A,icd10
S61159D,icd10
S61159S,icd10
S612,icd10
S6120,icd10
S61200,icd10
S61200A,icd10
S61200D,icd10
S61200S,icd10
S61201,icd10
S61201A,icd10
S61201D,icd10
S61201S,icd10
S61202,icd10
S61202A,icd10
S61202D,icd10
S61202S,icd10
S61203,icd10
S61203A,icd10
S61203D,icd10
S61203S,icd10
S61204,icd10
S61204A,icd10
S61204D,icd10
S61204S,icd10
S61205,icd10
S61205A,icd10
S61205D,icd10
S61205S,icd10
S61206,icd10
S61206A,icd10
S61206D,icd10
S61206S,icd10
S61207,icd10
S61207A,icd10
S61207D,icd10
S61207S,icd10
S61208,icd10
S61208A,icd10
S61208D,icd10
S61208S,icd10
S61209,icd10
S61209A,icd10
S61209D,icd10
S61209S,icd10
S6121,icd10
S61210,icd10
S61210A,icd10
S61210D,icd10
S61210S,icd10
S61211,icd10
S61211A,icd10
S61211D,icd10
S61211S,icd10
S61212,icd10
S61212A,icd10
S61212D,icd10
S61212S,icd10
S61213,icd10
S61213A,icd10
S61213D,icd10
S61213S,icd10
S61214,icd10
S61214A,icd10
S61214D,icd10
S61214S,icd10
S61215,icd10
S61215A,icd10
S61215D,icd10
S61215S,icd10
S61216,icd10
S61216A,icd10
S61216D,icd10
S61216S,icd10
S61217,icd10
S61217A,icd10
S61217D,icd10
S61217S,icd10
S61218,icd10
S61218A,icd10
S61218D,icd10
S61218S,icd10
S61219,icd10
S61219A,icd10
S61219D,icd10
S61219S,icd10
S6122,icd10
S61220,icd10
S61220A,icd10
S61220D,icd10
S61220S,icd10
S61221,icd10
S61221A,icd10
S61221D,icd10
S61221S,icd10
S61222,icd10
S61222A,icd10
S61222D,icd10
S61222S,icd10
S61223,icd10
S61223A,icd10
S61223D,icd10
S61223S,icd10
S61224,icd10
S61224A,icd10
S61224D,icd10
S61224S,icd10
S61225,icd10
S61225A,icd10
S61225D,icd10
S61225S,icd10
S61226,icd10
S61226A,icd10
S61226D,icd10
S61226S,icd10
S61227,icd10
S61227A,icd10
S61227D,icd10
S61227S,icd10
S61228,icd10
S61228A,icd10
S61228D,icd10
S61228S,icd10
S61229,icd10
S61229A,icd10
S61229D,icd10
S61229S,icd10
S6123,icd10
S61230,icd10
S61230A,icd10
S61230D,icd10
S61230S,icd10
S61231,icd10
S61231A,icd10
S61231D,icd10
S61231S,icd10
S61232,icd10
S61232A,icd10
S61232D,icd10
S61232S,icd10
S61233,icd10
S61233A,icd10
S61233D,icd10
S61233S,icd10
S61234,icd10
S61234A,icd10
S61234D,icd10
S61234S,icd10
S61235,icd10
S61235A,icd10
S61235D,icd10
S61235S,icd10
S61236,icd10
S61236A,icd10
S61236D,icd10
S61236S,icd10
S61237,icd10
S61237A,icd10
S61237D,icd10
S61237S,icd10
S61238,icd10
S61238A,icd10
S61238D,icd10
S61238S,icd10
S61239,icd10
S61239A,icd10
S61239D,icd10
S61239S,icd10
S6124,icd10
S61240,icd10
S61240A,icd10
S61240D,icd10
S61240S,icd10
S61241,icd10
S61241A,icd10
S61241D,icd10
S61241S,icd10
S61242,icd10
S61242A,icd10
S61242D,icd10
S61242S,icd10
S61243,icd10
S61243A,icd10
S61243D,icd10
S61243S,icd10
S61244,icd10
S61244A,icd10
S61244D,icd10
S61244S,icd10
S61245,icd10
S61245A,icd10
S61245D,icd10
S61245S,icd10
S61246,icd10
S61246A,icd10
S61246D,icd10
S61246S,icd10
S61247,icd10
S61247A,icd10
S61247D,icd10
S61247S,icd10
S61248,icd10
S61248A,icd10
S61248D,icd10
S61248S,icd10
S61249,icd10
S61249A,icd10
S61249D,icd10
S61249S,icd10
S6125,icd10
S61250,icd10
S61250A,icd10
S61250D,icd10
S61250S,icd10
S61251,icd10
S61251A,icd10
S61251D,icd10
S61251S,icd10
S61252,icd10
S61252A,icd10
S61252D,icd10
S61252S,icd10
S61253,icd10
S61253A,icd10
S61253D,icd10
S61253S,icd10
S61254,icd10
S61254A,icd10
S61254D,icd10
S61254S,icd10
S61255,icd10
S61255A,icd10
S61255D,icd10
S61255S,icd10
S61256,icd10
S61256A,icd10
S61256D,icd10
S61256S,icd10
S61257,icd10
S61257A,icd10
S61257D,icd10
S61257S,icd10
S61258,icd10
S61258A,icd10
S61258D,icd10
S61258S,icd10
S61259,icd10
S61259A,icd10
S61259D,icd10
S61259S,icd10
S613,icd10
S6130,icd10
S61300,icd10
S61300A,icd10
S61300D,icd10
S61300S,icd10
S61301,icd10
S61301A,icd10
S61301D,icd10
S61301S,icd10
S61302,icd10
S61302A,icd10
S61302D,icd10
S61302S,icd10
S61303,icd10
S61303A,icd10
S61303D,icd10
S61303S,icd10
S61304,icd10
S61304A,icd10
S61304D,icd10
S61304S,icd10
S61305,icd10
S61305A,icd10
S61305D,icd10
S61305S,icd10
S61306,icd10
S61306A,icd10
S61306D,icd10
S61306S,icd10
S61307,icd10
S61307A,icd10
S61307D,icd10
S61307S,icd10
S61308,icd10
S61308A,icd10
S61308D,icd10
S61308S,icd10
S61309,icd10
S61309A,icd10
S61309D,icd10
S61309S,icd10
S6131,icd10
S61310,icd10
S61310A,icd10
S61310D,icd10
S61310S,icd10
S61311,icd10
S61311A,icd10
S61311D,icd10
S61311S,icd10
S61312,icd10
S61312A,icd10
S61312D,icd10
S61312S,icd10
S61313,icd10
S61313A,icd10
S61313D,icd10
S61313S,icd10
S61314,icd10
S61314A,icd10
S61314D,icd10
S61314S,icd10
S61315,icd10
S61315A,icd10
S61315D,icd10
S61315S,icd10
S61316,icd10
S61316A,icd10
S61316D,icd10
S61316S,icd10
S61317,icd10
S61317A,icd10
S61317D,icd10
S61317S,icd10
S61318,icd10
S61318A,icd10
S61318D,icd10
S61318S,icd10
S61319,icd10
S61319A,icd10
S61319D,icd10
S61319S,icd10
S6132,icd10
S61320,icd10
S61320A,icd10
S61320D,icd10
S61320S,icd10
S61321,icd10
S61321A,icd10
S61321D,icd10
S61321S,icd10
S61322,icd10
S61322A,icd10
S61322D,icd10
S61322S,icd10
S61323,icd10
S61323A,icd10
S61323D,icd10
S61323S,icd10
S61324,icd10
S61324A,icd10
S61324D,icd10
S61324S,icd10
S61325,icd10
S61325A,icd10
S61325D,icd10
S61325S,icd10
S61326,icd10
S61326A,icd10
S61326D,icd10
S61326S,icd10
S61327,icd10
S61327A,icd10
S61327D,icd10
S61327S,icd10
S61328,icd10
S61328A,icd10
S61328D,icd10
S61328S,icd10
S61329,icd10
S61329A,icd10
S61329D,icd10
S61329S,icd10
S6133,icd10
S61330,icd10
S61330A,icd10
S61330D,icd10
S61330S,icd10
S61331,icd10
