code,type
38600,icd9
38601,icd9
38602,icd9
38603,icd9
38604,icd9
38610,icd9
38611,icd9
38612,icd9
38619,icd9
3862,icd9
38630,icd9
38631,icd9
38632,icd9
38633,icd9
38634,icd9
38635,icd9
38640,icd9
38641,icd9
38642,icd9
38643,icd9
38648,icd9
38650,icd9
38651,icd9
38652,icd9
38653,icd9
38654,icd9
38655,icd9
38656,icd9
38658,icd9
3868,icd9
3869,icd9
7804,icd9
38000,icd9
38001,icd9
38002,icd9
38003,icd9
38010,icd9
38011,icd9
38012,icd9
38013,icd9
38014,icd9
38015,icd9
38016,icd9
38021,icd9
38022,icd9
38023,icd9
38030,icd9
38031,icd9
38032,icd9
38039,icd9
3804,icd9
38050,icd9
38051,icd9
38052,icd9
38053,icd9
38081,icd9
38089,icd9
3809,icd9
400,icd9
38401,icd9
38409,icd9
3841,icd9
38530,icd9
38531,icd9
38532,icd9
38533,icd9
38535,icd9
38582,icd9
38583,icd9
38589,icd9
3859,icd9
38800,icd9
38801,icd9
38802,icd9
38810,icd9
38811,icd9
38812,icd9
3882,icd9
38830,icd9
38831,icd9
38832,icd9
38840,icd9
38841,icd9
38842,icd9
38843,icd9
38844,icd9
38845,icd9
3885,icd9
38860,icd9
38861,icd9
38869,icd9
38870,icd9
38871,icd9
38872,icd9
3888,icd9
3889,icd9
38900,icd9
38901,icd9
38902,icd9
38903,icd9
38904,icd9
38905,icd9
38906,icd9
38908,icd9
38910,icd9
38911,icd9
38912,icd9
38913,icd9
38914,icd9
38915,icd9
38916,icd9
38917,icd9
38918,icd9
3892,icd9
38920,icd9
38921,icd9
38922,icd9
3897,icd9
3898,icd9
3899,icd9
V412,icd9
V413,icd9
V4985,icd9
V532,icd9
V721,icd9
V7211,icd9
V7212,icd9
V7219,icd9
33900,icd9
33901,icd9
33902,icd9
33903,icd9
33904,icd9
3460,icd9
34600,icd9
34601,icd9
34602,icd9
34603,icd9
3461,icd9
34610,icd9
34611,icd9
34612,icd9
34613,icd9
3462,icd9
34620,icd9
34621,icd9
34622,icd9
34623,icd9
34630,icd9
34631,icd9
34632,icd9
34633,icd9
34640,icd9
34641,icd9
34642,icd9
34643,icd9
34650,icd9
34651,icd9
34652,icd9
34653,icd9
34670,icd9
34671,icd9
34672,icd9
34673,icd9
3468,icd9
34680,icd9
34681,icd9
34682,icd9
34683,icd9
3469,icd9
34690,icd9
34691,icd9
34692,icd9
34693,icd9
33905,icd9
33909,icd9
33910,icd9
33911,icd9
33912,icd9
33920,icd9
33921,icd9
33922,icd9
3393,icd9
33941,icd9
33942,icd9
33943,icd9
33944,icd9
33981,icd9
33982,icd9
33983,icd9
33984,icd9
33985,icd9
33989,icd9
7840,icd9
H61009,icd10
H61019,icd10
H61029,icd10
H61039,icd10
H6000,icd10
H6010,icd10
H60319,icd10
H60329,icd10
H60399,icd10
H6193,icd10
H60339,icd10
H6240,icd10
H6020,icd10
H628X1,icd10
H6040,icd10
H60509,icd10
H60519,icd10
H60529,icd10
H60539,icd10
H60549,icd10
H60559,icd10
H60599,icd10
H6060,icd10
H608X1,icd10
H6090,icd10
H61109,icd10
H61129,icd10
H61119,icd10
H61199,icd10
H6123,icd10
H61309,icd10
H61399,icd10
H61319,icd10
H61329,icd10
H61819,icd10
H61899,icd10
H73019,icd10
H73099,icd10
H7310,icd10
H7193,icd10
H7103,icd10
H7113,icd10
H7440,icd10
H7123,icd10
H7133,icd10
H748X9,icd10
H7490,icd10
H8109,icd10
H81399,icd10
H8113,icd10
H8123,icd10
H81319,icd10
H8149,icd10
H8309,icd10
H8319,icd10
H832X9,icd10
H818X9,icd10
H829,icd10
H838X9,icd10
H8193,icd10
H8393,icd10
H93099,icd10
H9113,icd10
H93019,icd10
H833X9,icd10
H918X9,icd10
H9123,icd10
H9319,icd10
H93249,icd10
H93299,icd10
H93229,icd10
H93239,icd10
H93219,icd10
H933X9,icd10
H9210,icd10
G960,icd10
H9220,icd10
H9209,icd10
H938X9,icd10
H9393,icd10
H902,icd10
H9011,icd10
H9012,icd10
H900,icd10
H905,icd10
H903,icd10
H9041,icd10
H9042,icd10
H908,icd10
H9071,icd10
H9072,icd10
H906,icd10
H913,icd10
H9190,icd10
R42,icd10
Z974,icd10
H9390,icd10
Z7382,icd10
Z461,icd10
Z01110,icd10
Z0112,icd10
Z0110,icd10
Z01118,icd10
G44009,icd10
G44019,icd10
G44029,icd10
G44039,icd10
G44049,icd10
G44059,icd10
G44099,icd10
G44209,icd10
G44219,icd10
G44221,icd10
G44229,icd10
G44309,icd10
G44319,icd10
G44329,icd10
G4441,icd10
G4451,icd10
G4452,icd10
G4453,icd10
G4459,icd10
G4481,icd10
G4482,icd10
G4483,icd10
G4484,icd10
G4485,icd10
G4489,icd10
G43109,icd10
G43119,icd10
G43101,icd10
G43111,icd10
G43009,icd10
G43019,icd10
G43001,icd10
G43011,icd10
G43809,icd10
G43A0,icd10
G43B0,icd10
G43C0,icd10
G43D0,icd10
G43819,icd10
G43A1,icd10
G43B1,icd10
G43C1,icd10
G43D1,icd10
G43801,icd10
G43811,icd10
G43409,icd10
G43419,icd10
G43401,icd10
G43411,icd10
G43829,icd10
G43839,icd10
G43821,icd10
G43831,icd10
G43509,icd10
G43519,icd10
G43501,icd10
G43511,icd10
G43709,icd10
G43719,icd10
G43701,icd10
G43711,icd10
G43909,icd10
G43919,icd10
G43901,icd10
G43911,icd10
G441,icd10
R51,icd10
