code,type
7806,icd9
78060,icd9
78061,icd9
78079,icd9
7808,icd9
78321,icd9
7841,icd9
78441,icd9
78442,icd9
7849,icd9
78491,icd9
78499,icd9
78602,icd9
78605,icd9
78607,icd9
7862,icd9
7863,icd9
78630,icd9
7864,icd9
78650,icd9
78651,icd9
78652,icd9
78659,icd9
0389,icd9
07999,icd9
1124,icd9
1140,icd9
1144,icd9
11505,icd9
11515,icd9
11595,icd9
1304,icd9
1363,icd9
310,icd9
340,icd9
391,icd9
460,icd9
4610,icd9
4611,icd9
4612,icd9
4613,icd9
4619,icd9
462,icd9
463,icd9
4640,icd9
46400,icd9
46401,icd9
46411,icd9
46420,icd9
46421,icd9
46430,icd9
46431,icd9
4644,icd9
46450,icd9
46451,icd9
4650,icd9
4658,icd9
4659,icd9
4660,icd9
4661,icd9
46611,icd9
46619,icd9
4722,icd9
4730,icd9
4731,icd9
4732,icd9
4733,icd9
4738,icd9
4739,icd9
4740,icd9
47400,icd9
47401,icd9
47402,icd9
47410,icd9
47411,icd9
475,icd9
4760,icd9
4761,icd9
47821,icd9
47822,icd9
47824,icd9
47871,icd9
4789,icd9
4800,icd9
4801,icd9
4802,icd9
4808,icd9
4809,icd9
481,icd9
4820,icd9
4821,icd9
4822,icd9
4823,icd9
48230,icd9
48231,icd9
48232,icd9
48239,icd9
4824,icd9
48240,icd9
48241,icd9
48242,icd9
48249,icd9
4828,icd9
48281,icd9
48283,icd9
48284,icd9
48289,icd9
4829,icd9
483,icd9
4830,icd9
4831,icd9
4838,icd9
4841,icd9
4843,icd9
4846,icd9
4847,icd9
4848,icd9
485,icd9
486,icd9
4870,icd9
4871,icd9
4878,icd9
488,icd9
4881,icd9
48811,icd9
48812,icd9
48819,icd9
48881,icd9
48882,icd9
48889,icd9
490,icd9
4910,icd9
4911,icd9
4918,icd9
4919,icd9
5100,icd9
5130,icd9
5131,icd9
5192,icd9
5990,icd9
830,icd9
99591,icd9
135,icd9
1622,icd9
1623,icd9
1624,icd9
1625,icd9
1628,icd9
1629,icd9
1630,icd9
1631,icd9
1638,icd9
1639,icd9
1650,icd9
1658,icd9
1659,icd9
1970,icd9
20921,icd9
2123,icd9
2311,icd9
2318,icd9
2319,icd9
2357,icd9
2391,icd9
2891,icd9
4168,icd9
4239,icd9
4280,icd9
4464,icd9
46410,icd9
4720,icd9
47412,icd9
4742,icd9
4748,icd9
4749,icd9
4770,icd9
4772,icd9
4778,icd9
4779,icd9
4781,icd9
47819,icd9
47820,icd9
47829,icd9
47830,icd9
47831,icd9
47832,icd9
47833,icd9
47834,icd9
4784,icd9
4785,icd9
47870,icd9
47874,icd9
47875,icd9
47879,icd9
4788,icd9
4912,icd9
49120,icd9
49121,icd9
49122,icd9
4920,icd9
4928,icd9
49300,icd9
49301,icd9
49302,icd9
49310,icd9
49311,icd9
49312,icd9
49320,icd9
49321,icd9
49322,icd9
49381,icd9
49382,icd9
49390,icd9
49392,icd9
494,icd9
4940,icd9
4941,icd9
4950,icd9
4951,icd9
4952,icd9
4953,icd9
4954,icd9
4955,icd9
4956,icd9
4957,icd9
4958,icd9
4959,icd9
496,icd9
500,icd9
501,icd9
502,icd9
503,icd9
504,icd9
505,icd9
5060,icd9
5061,icd9
5062,icd9
5063,icd9
5064,icd9
5069,icd9
5070,icd9
5071,icd9
5078,icd9
5080,icd9
5081,icd9
5082,icd9
5088,icd9
5089,icd9
5110,icd9
5111,icd9
5118,icd9
51189,icd9
5120,icd9
5128,icd9
51281,icd9
51282,icd9
51283,icd9
51284,icd9
51289,icd9
514,icd9
515,icd9
5160,icd9
5161,icd9
5162,icd9
5163,icd9
51630,icd9
51631,icd9
51632,icd9
51633,icd9
51634,icd9
51635,icd9
51636,icd9
51637,icd9
5164,icd9
5165,icd9
5168,icd9
5169,icd9
5171,icd9
5172,icd9
5173,icd9
5178,icd9
5181,icd9
5182,icd9
5183,icd9
5184,icd9
51881,icd9
51882,icd9
51883,icd9
51884,icd9
51889,icd9
5191,icd9
51911,icd9
51919,icd9
5193,icd9
5194,icd9
5198,icd9
5199,icd9
78440,icd9
78449,icd9
7847,icd9
7848,icd9
78600,icd9
78609,icd9
78639,icd9
7869,icd9
79311,icd9
7942,icd9
7991,icd9
2639,icd9
2761,icd9
28529,icd9
2859,icd9
28860,icd9
2893,icd9
4293,icd9
5119,icd9
5180,icd9
7822,icd9
7842,icd9
7850,icd9
7856,icd9
7866,icd9
7867,icd9
7931,icd9
79319,icd9
79902,icd9
7994,icd9
R042,icd10
R05,icd10
R0600,icd10
R0601,icd10
R0602,icd10
R0603,icd10
R0609,icd10
R062,icd10
R0689,icd10
R069,icd10
R071,icd10
R072,icd10
R0781,icd10
R0782,icd10
R0789,icd10
R079,icd10
R093,icd10
R490,icd10
R498,icd10
R499,icd10
R50,icd10
R5081,icd10
R509,icd10
R531,icd10
R5381,icd10
R5383,icd10
R61,icd10
R634,icd10
A310,icd10
