code,type
7890,icd9
78900,icd9
78901,icd9
78902,icd9
78903,icd9
78904,icd9
78905,icd9
78906,icd9
78907,icd9
78909,icd9
R10,icd10
R100,icd10
R101,icd10
R1010,icd10
R1011,icd10
R1012,icd10
R1013,icd10
R102,icd10
R103,icd10
R1030,icd10
R1031,icd10
R1032,icd10
R1033,icd10
R108,icd10
R1081,icd10
R10811,icd10
R10812,icd10
R10813,icd10
R10814,icd10
R10815,icd10
R10816,icd10
R10817,icd10
R10819,icd10
R1082,icd10
R10821,icd10
R10822,icd10
R10823,icd10
R10824,icd10
R10825,icd10
R10826,icd10
R10827,icd10
R10829,icd10
R1083,icd10
R1084,icd10
R109,icd10
