code,type
2760,icd9
2761,icd9
2762,icd9
2763,icd9
2764,icd9
2765,icd9
27650,icd9
27651,icd9
27652,icd9
2766,icd9
27669,icd9
2767,icd9
2768,icd9
2769,icd9
9951,icd9
7955,icd10
79551,icd10
79552,icd10
7956,icd10
79579,icd10
V010,icd10
V011,icd10
V012,icd10
V013,icd10
V014,icd10
V015,icd10
V016,icd10
V017,icd10
V0171,icd10
V0179,icd10
V018,icd10
V0181,icd10
V0182,icd10
V0183,icd10
V0184,icd10
V0189,icd10
V019,icd10
V020,icd10
V021,icd10
V022,icd10
V023,icd10
V024,icd10
V025,icd10
V0251,icd10
V0252,icd10
V0253,icd10
V0254,icd10
V0259,icd10
V026,icd10
V0260,icd10
V0261,icd10
V0262,icd10
V0269,icd10
V027,icd10
V028,icd10
V029,icd10
V030,icd10
V031,icd10
V032,icd10
V033,icd10
V034,icd10
V035,icd10
V036,icd10
V037,icd10
V038,icd10
V0381,icd10
V0382,icd10
V0389,icd10
V039,icd10
V040,icd10
V041,icd10
V042,icd10
V043,icd10
V044,icd10
V045,icd10
V046,icd10
V047,icd10
V048,icd10
V0481,icd10
V0482,icd10
V0489,icd10
V050,icd10
V051,icd10
V052,icd10
V053,icd10
V054,icd10
V058,icd10
V059,icd10
V060,icd10
V061,icd10
V062,icd10
V063,icd10
V064,icd10
V065,icd10
V066,icd10
V068,icd10
V069,icd10
V286,icd10
V712,icd10
V7182,icd10
V7183,icd10
V730,icd10
V731,icd10
V732,icd10
V733,icd10
V734,icd10
V735,icd10
V736,icd10
V738,icd10
V7381,icd10
V7388,icd10
V7389,icd10
V739,icd10
V7398,icd10
V7399,icd10
V740,icd10
V741,icd10
V742,icd10
V743,icd10
V744,icd10
V745,icd10
V746,icd10
V748,icd10
V749,icd10
V750,icd10
V751,icd10
V752,icd10
V753,icd10
V754,icd10
V755,icd10
V756,icd10
V757,icd10
V758,icd10
V759,icd10
2760,icd10
2761,icd10
2762,icd10
2763,icd10
2764,icd10
2765,icd10
27650,icd10
27651,icd10
27652,icd10
2766,icd10
27669,icd10
2767,icd10
2768,icd10
2769,icd10
9951,icd10
