code,type
33900,icd9
33901,icd9
33902,icd9
33903,icd9
33904,icd9
33905,icd9
33909,icd9
33910,icd9
33911,icd9
33912,icd9
33920,icd9
33921,icd9
33922,icd9
3393,icd9
33941,icd9
33942,icd9
33943,icd9
33944,icd9
33981,icd9
33982,icd9
33983,icd9
33984,icd9
33985,icd9
33989,icd9
3460,icd9
34600,icd9
34601,icd9
34602,icd9
34603,icd9
3461,icd9
34610,icd9
34611,icd9
34612,icd9
34613,icd9
3462,icd9
34620,icd9
34621,icd9
34622,icd9
34623,icd9
34630,icd9
34631,icd9
34632,icd9
34633,icd9
34640,icd9
34641,icd9
34642,icd9
34643,icd9
34650,icd9
34651,icd9
34652,icd9
34653,icd9
34670,icd9
34671,icd9
34672,icd9
34673,icd9
3468,icd9
34680,icd9
34681,icd9
34682,icd9
34683,icd9
3469,icd9
34690,icd9
34691,icd9
34692,icd9
34693,icd9
7840,icd9
G43001,icd10
G43009,icd10
G43011,icd10
G43019,icd10
G43101,icd10
G43109,icd10
G43111,icd10
G43119,icd10
G43401,icd10
G43409,icd10
G43411,icd10
G43419,icd10
G43501,icd10
G43509,icd10
G43511,icd10
G43519,icd10
G43701,icd10
G43709,icd10
G43711,icd10
G43719,icd10
G43801,icd10
G43809,icd10
G43811,icd10
G43819,icd10
G43821,icd10
G43829,icd10
G43831,icd10
G43839,icd10
G43901,icd10
G43909,icd10
G43911,icd10
G43919,icd10
G43A0,icd10
G43A1,icd10
G43B0,icd10
G43B1,icd10
G43C0,icd10
G43C1,icd10
G43D0,icd10
G43D1,icd10
G44001,icd10
G44009,icd10
G44011,icd10
G44019,icd10
G44021,icd10
G44029,icd10
G44031,icd10
G44039,icd10
G44041,icd10
G44049,icd10
G44051,icd10
G44059,icd10
G44091,icd10
G44099,icd10
G441,icd10
G44201,icd10
G44209,icd10
G44211,icd10
G44219,icd10
G44221,icd10
G44229,icd10
G44301,icd10
G44309,icd10
G44311,icd10
G44319,icd10
G44321,icd10
G44329,icd10
G4440,icd10
G4441,icd10
G4451,icd10
G4452,icd10
G4453,icd10
G4459,icd10
G4481,icd10
G4482,icd10
G4483,icd10
G4484,icd10
G4485,icd10
G4489,icd10
R51,icd10
