code,type
3051,icd9
V1582,icd9
Z720,icd10
Z87891,icd10
F17,icd10
F172,icd10
F1720,icd10
F17200,icd10
F17201,icd10
F17203,icd10
F17208,icd10
F17209,icd10
F1721,icd10
F17210,icd10
F17211,icd10
F17213,icd10
F17218,icd10
F17219,icd10
F1722,icd10
F17220,icd10
F17221,icd10
F17223,icd10
F17228,icd10
F17229,icd10
F1729,icd10
F17290,icd10
F17291,icd10
F17293,icd10
F17298,icd10
F17299,icd10
O9933,icd10
O99330,icd10
O99331,icd10
O99332,icd10
O99333,icd10
O99334,icd10
O99335,icd10
P042,icd10
P9681,icd10
Z5731,icd10
Z7722,icd10
T652,icd10
T6521,icd10
T65211,icd10
T65211A,icd10
T65211D,icd10
T65211S,icd10
T65212,icd10
T65212A,icd10
T65212D,icd10
T65212S,icd10
T65213,icd10
T65213A,icd10
T65213D,icd10
T65213S,icd10
T65214,icd10
T65214A,icd10
T65214D,icd10
T65214S,icd10
T6522,icd10
T65221,icd10
T65221A,icd10
T65221D,icd10
T65221S,icd10
T65222,icd10
T65222A,icd10
T65222D,icd10
T65222S,icd10
T65223,icd10
T65223A,icd10
T65223D,icd10
T65223S,icd10
T65224,icd10
T65224A,icd10
T65224D,icd10
T65224S,icd10
T6529,icd10
T65291,icd10
T65291A,icd10
T65291D,icd10
T65291S,icd10
T65292,icd10
T65292A,icd10
T65292D,icd10
T65292S,icd10
T65293,icd10
T65293A,icd10
T65293D,icd10
T65293S,icd10
T65294,icd10
T65294A,icd10
T65294D,icd10
T65294S,icd10
